id;nome;significado;origem;motivo_escolha;pesquisas
1;Aarão;Aharon, o elevado, o sublime;Hebraico;Extraído de Livro dos Nomes;0
2;Abá;Esperança;Afro-brasileiro;Extraído de Livro dos Nomes;0
3;Abaçaí;Homem de resp eito;Tupi;Extraído de Livro dos Nomes;0
4;Abade;Abba, pai, guia ou chefe de um  mosteiro. O pa i pela;Hebraico;Extraído de Livro dos Nomes;0
5;Abaeté;Abá-et ê, homem de respeito;Tupi;Extraído de Livro dos Nomes;0
6;Abanã;Cabelo forte, cabelo duro;Tupi;Extraído de Livro dos Nomes;0
7;Abaré;Amigo do homem;Tupi;Extraído de Livro dos Nomes;0
8;Abati;Cabelos dourad os, loiro;Tupi;Extraído de Livro dos Nomes;0
9;Abayomi;Nome feminino: encontro feliz;Yorubá;Extraído de Livro dos Nomes;0
10;Abdala;Abdallah, servo de Deus. Sobr enome de muitas famílias no;Árabe;Extraído de Livro dos Nomes;0
11;Abdão;Aque le que serve;Hebraico;Extraído de Livro dos Nomes;0
12;Abdelcáder;Servo do Onipotente;Árabe;Extraído de Livro dos Nomes;0
13;Abdelcarim;Servo do Generoso. Famoso guerr eiro m arroquino;Árabe;Extraído de Livro dos Nomes;0
14;Abdelmáleque;Servo do Rei;Árabe;Extraído de Livro dos Nomes;0
15;Abdénago;Ser vo do Deus Nabo. Também usado Abdé nego;Hebraico;Extraído de Livro dos Nomes;0
16;Abderramã;Servo da Miseric órdia;Árabe;Extraído de Livro dos Nomes;0
17;Abdias;Obadi ah, servo de Deus;Hebraico;Extraído de Livro dos Nomes;0
18;Abdiel;M eu servo é De us;Hebraico;Extraído de Livro dos Nomes;0
19;Abdir;Poderoso;Hebraico;Extraído de Livro dos Nomes;0
20;Abdon;Aquele q ue ser ve;Hebraico;Extraído de Livro dos Nomes;0
21;Abdul-Hamide;Servo do Louvado;Árabe;Extraído de Livro dos Nomes;0
22;Abeguar;Comedor de ge nte;Tupi;Extraído de Livro dos Nomes;0
23;Abel;Heb-h el, sopro, hál ito, o que chora, esvanecimento. Segundo;Hebraico;Extraído de Livro dos Nomes;0
24;Abelardo;Adelhard, nobre resoluto. Vindo do francês Abeillard,;Teutônico;Extraído de Livro dos Nomes;0
25;Abella;Bonita;Latim;Extraído de Livro dos Nomes;0
26;Abiézer;Meu pai é auxílio;Hebraico;Extraído de Livro dos Nomes;0
27;Abigail;"Abigayil, fonte de pr azer; pai do cotenta mento. Meu  pai é";Hebraico;Extraído de Livro dos Nomes;0
28;Abílio;Abiliu, hábil, idôneo, capaz, que não é vingati vo, ou do greg o;Latim;Extraído de Livro dos Nomes;0
29;Abimeleque;Meu Pai é rei;Hebraico;Extraído de Livro dos Nomes;0
30;Aboré;O  venerável;Afro-brasileiro;Extraído de Livro dos Nomes;0
31;Abra;Abrah am, m ãe das m ultidões. Mãe do Universo. Abra foi a;Hebraico;Extraído de Livro dos Nomes;0
32;Abraão;Abrah am, pa i das mu ltidões. O verdad eiro fund ador do povo;Hebraico;Extraído de Livro dos Nomes;0
33;Abram;Abraham, sublime é o pai;Hebraico;Extraído de Livro dos Nomes;0
34;Abreu;Agradec imento, doaçã o. Do germânico. Avredo;Português;Extraído de Livro dos Nomes;0
35;Absalão;Ab-salom, pai da p az. Variação: Absalem;Hebraico;Extraído de Livro dos Nomes;0
36;Abu;Pai, quand o precede n ome do filho: Abdallah, Abu Muha mmad;Árabe;Extraído de Livro dos Nomes;0
37;Abud;O mesmo que Abu;Árabe;Extraído de Livro dos Nomes;0
38;Acabe;Irmão do pa i, tio p aterno;Hebraico;Extraído de Livro dos Nomes;0
39;Acácia;Akaki a, penoso, espi nhoso. A acáci a é uma árvore qu e;Grego;Extraído de Livro dos Nomes;0
40;Accioli;Derivado de acci aioli, instrum ento de aço p ara prod uzir fogo;Italiano;Extraído de Livro dos Nomes;0
41;Acemira;Faz do er, doloroso;Tupi;Extraído de Livro dos Nomes;0
42;Achila;Feminino de Aquiles;Grego;Extraído de Livro dos Nomes;0
43;Aci;Mãe;Tupi;Extraído de Livro dos Nomes;0
44;Acilino;Acylinus ou gre go Ák ylos, bolota, glande d e carvalh o, cidade da;Latim;Extraído de Livro dos Nomes;0
45;Acindino;Acindynus ou do greg o Akínd ynos, sem per igo. Feminino:;Latim;Extraído de Livro dos Nomes;0
46;Acir;Abreviatura de Moacir;Tupi;Extraído de Livro dos Nomes;0
47;Aclima;Irmã gê mea e m ulher de Ca im;Hebraico;Extraído de Livro dos Nomes;0
48;Acrísio;Aquele qu e não disc erne, não disti ngüe;Grego;Extraído de Livro dos Nomes;0
49;Açucena;Alvura,  branca com o a flor da pla nta. Variante de Susan a;Árabe;Extraído de Livro dos Nomes;0
50;Ada;"Eada, feliz, próspero; ou he braic o - Adah, tiara, ornamento,";Teutônico;Extraído de Livro dos Nomes;0
51;Adail;Addalil, gui a, caudilho, aquele que m ostra o;PortuguêsouÁrabe;Extraído de Livro dos Nomes;0
52;Adair;Athadara, passa gem a vau sobre carvalhos. No me de u ma;Celta;Extraído de Livro dos Nomes;0
53;Adalardo;Nobre e forte,  forte como a nobreza. Usa-s e também;GerMãnico;Extraído de Livro dos Nomes;0
54;Adalbero;Ad al, nobre, e bero, urso;Germânico;Extraído de Livro dos Nomes;0
55;Adalberto;Adelbehrt, de Abel (nobr e) e Behrt (ilustre);Teutônico;Extraído de Livro dos Nomes;0
56;Adalfredo;No bre e pacífico;Germânico;Extraído de Livro dos Nomes;0
57;Adalgisa;Lanç a de nobr eza;Teutônico;Extraído de Livro dos Nomes;0
58;Adália;Que vem de Adal, no bre, perfum ada;Teutônico;Extraído de Livro dos Nomes;0
59;Adalmiro;No bre e brilhante, famoso;Germânico;Extraído de Livro dos Nomes;0
60;Adalto;Para o alto, em  sentid o espiritu al;Latim;Extraído de Livro dos Nomes;0
61;Adalvino;Amigo no bre ou da no breza;Germânico;Extraído de Livro dos Nomes;0
62;Adalzira;Ornam ento no bre;Germânico;Extraído de Livro dos Nomes;0
63;Adamâncio;Duro co mo di amante;Latim;Extraído de Livro dos Nomes;0
64;Adamantina;Muito amável, bo m. Form a feminina de Adamantino;Grego;Extraído de Livro dos Nomes;0
65;Adamantino;"Adamas, adamantos,  indomável;  diamantin o, de";Grego;Extraído de Livro dos Nomes;0
66;Adamanto;Adámas, Adámantos, dia mante, indomável. Usado ta mbém;Grego;Extraído de Livro dos Nomes;0
67;Adamastor;Adamas, diamante, indomável, ind ômito, invencível;Grego;Extraído de Livro dos Nomes;0
68;Adamir;Brilhante, famoso, riqu ezas. Nome de ho mem ou mulher;Germânico;Extraído de Livro dos Nomes;0
69;Adamo;Amo excess ivamente;Latim;Extraído de Livro dos Nomes;0
70;Adão;Adham, h omem de terra vermelh a (referênci a ao solo;Hebraico;Extraído de Livro dos Nomes;0
71;Adauto;Aumentado, acresc ido, ajuntado;Latim;Extraído de Livro dos Nomes;0
